email_id,label,category,email_text
L0474,0,legitimate,"Hi Priya, could you please send the latest version of the report when convenient?"
L0674,0,legitimate,Reminder: your appointment with Admissions is scheduled for Tuesday at 4:00 PM.
P0008,1,phishing,You are eligible for an exclusive bonus. Click https://www.account-security-alert.com/verify to claim it before midnight.
L0128,0,legitimate,The maintenance team will inspect the office network on Thursday. No action is required from you.
P0165,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.account-security-alert.com/verify.
P0892,1,phishing,Important document: Please review and sign the attached form using https://www.secure-account-check.com/verify.
L0266,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
P1078,1,phishing,Urgent: Your banking account has been suspended. Verify your account immediately at https://www.secure-account-check.com/verify.
P0970,1,phishing,Important document: Please review and sign the attached form using https://www.reward-center-online.com/verify.
L0204,0,legitimate,The maintenance team will inspect the office network on Wednesday. No action is required from you.
P0297,1,phishing,You have won a free smartphone. Claim your reward now by visiting https://www.reward-center-online.com/verify.
L0269,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P0511,1,phishing,Important document: Please review and sign the attached form using https://www.account-security-alert.com/verify.
L1124,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P1057,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.verify-login-now.net/verify.
P0049,1,phishing,Your employee benefits account requires verification. Sign in at https://www.billing-confirmation.net/verify.
L1175,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
L0963,0,legitimate,"Hi Priya, the client meeting is scheduled for Tuesday at 3:30 PM. Please let me know if you can attend."
L0349,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
P1137,1,phishing,Your employee benefits account requires verification. Sign in at https://www.reward-center-online.com/verify.
L0397,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
P1172,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.secure-account-check.com/verify.
P0181,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.verify-login-now.net/verify.
L0783,0,legitimate,Your library book is due on Friday. You can renew it through the library portal.
P0229,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.secure-account-check.com/verify.
P1153,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.reward-center-online.com/verify.
L0351,0,legitimate,"Hi Rahul, could you please send the latest version of the report when convenient?"
P0143,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.billing-confirmation.net/verify.
L1160,0,legitimate,Thanks for your application. We will review your documents and contact you with the next steps.
P0613,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.billing-confirmation.net/verify.
L0747,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
P0760,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.reward-center-online.com/verify.
L0025,0,legitimate,The maintenance team will inspect the office network on Tuesday. No action is required from you.
P1052,1,phishing,Congratulations! You have been selected for a cash reward. Submit your details at https://www.secure-account-check.com/verify.
P0180,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.secure-account-check.com/verify.
L0373,0,legitimate,Reminder: your appointment with Accounts is scheduled for Monday at 4:00 PM.
L0996,0,legitimate,"Hi everyone, today's training session will begin at 4:00 PM. The meeting link is in the calendar invitation."
P0975,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.secure-account-check.com/verify.
P0195,1,phishing,You have won a free smartphone. Claim your reward now by visiting https://www.verify-login-now.net/verify.
P1034,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.billing-confirmation.net/verify.
P1086,1,phishing,Your employee benefits account requires verification. Sign in at https://www.account-security-alert.com/verify.
L0947,0,legitimate,"Hi Priya, could you please send the latest version of the report when convenient?"
L0872,0,legitimate,"Hi Ananya, could you please send the latest version of the report when convenient?"
P0633,1,phishing,Important document: Please review and sign the attached form using https://www.billing-confirmation.net/verify.
P0267,1,phishing,Security alert: We detected unusual activity on your cloud account. Confirm your identity using https://www.secure-account-check.com/verify.
P0179,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.secure-account-check.com/verify.
P1183,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.account-security-alert.com/verify.
P0819,1,phishing,"We noticed a login from a new device. If this was not you, secure your account at https://www.verify-login-now.net/verify."
L0944,0,legitimate,"Hi Meera, the weekly sync is scheduled for Thursday at 11:30 AM. Please let me know if you can attend."
P0671,1,phishing,Important document: Please review and sign the attached form using https://www.secure-account-check.com/verify.
L0416,0,legitimate,"Hi Rahul, could you please send the latest version of the report when convenient?"
P1171,1,phishing,Security alert: We detected unusual activity on your Microsoft account. Confirm your identity using https://www.verify-login-now.net/verify.
P0641,1,phishing,You are eligible for an exclusive bonus. Click https://www.secure-account-check.com/verify to claim it before midnight.
L0470,0,legitimate,The department has approved the leave request. Please check the HR portal for the updated balance.
L1015,0,legitimate,"Hi Priya, here are the notes from yesterday's discussion. Please share any corrections."
P0775,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.reward-center-online.com/verify.
P0914,1,phishing,You have won a cash prize. Claim your reward now by visiting https://www.account-security-alert.com/verify.
L0621,0,legitimate,"Hi everyone, today's training session will begin at 11:30 AM. The meeting link is in the calendar invitation."
P0655,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.billing-confirmation.net/verify.
P0926,1,phishing,Important document: Please review and sign the attached form using https://www.secure-account-check.com/verify.
L0085,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
L0685,0,legitimate,Reminder: your appointment with IT Support is scheduled for Friday at 4:00 PM.
L0120,0,legitimate,"Hi Akhila, the client meeting is scheduled for Monday at 2:00 PM. Please let me know if you can attend."
L0588,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
P0505,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.verify-login-now.net/verify.
L1182,0,legitimate,"Hi everyone, today's training session will begin at 10:00 AM. The meeting link is in the calendar invitation."
P0334,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.billing-confirmation.net/verify.
L1041,0,legitimate,The finance team has shared the monthly expense report. Please review the figures before Friday.
P0009,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.account-security-alert.com/verify.
L1108,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
P0372,1,phishing,Congratulations! You have been selected for a cash reward. Submit your details at https://www.verify-login-now.net/verify.
L0748,0,legitimate,"Hi Rahul, here are the notes from yesterday's discussion. Please share any corrections."
L0645,0,legitimate,"Hi Ananya, here are the notes from yesterday's discussion. Please share any corrections."
L0399,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
L0597,0,legitimate,"Hi Arjun, the client meeting is scheduled for Thursday at 3:30 PM. Please let me know if you can attend."
L0075,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
P0872,1,phishing,Urgent: Your PayPal account has been suspended. Verify your account immediately at https://www.reward-center-online.com/verify.
P0492,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.billing-confirmation.net/verify.
P0637,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.billing-confirmation.net/verify.
P0211,1,phishing,Security alert: We detected unusual activity on your Microsoft account. Confirm your identity using https://www.billing-confirmation.net/verify.
L0376,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
P0810,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.reward-center-online.com/verify.
P0142,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.reward-center-online.com/verify.
L0220,0,legitimate,"Hi Akhila, here are the notes from yesterday's discussion. Please share any corrections."
L0460,0,legitimate,Your library book is due on Tuesday. You can renew it through the library portal.
L0394,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
P0457,1,phishing,You have won a $500 gift card. Claim your reward now by visiting https://www.verify-login-now.net/verify.
P1103,1,phishing,Security alert: We detected unusual activity on your cloud account. Confirm your identity using https://www.account-security-alert.com/verify.
P0002,1,phishing,You have won a $500 gift card. Claim your reward now by visiting https://www.verify-login-now.net/verify.
L0079,0,legitimate,"Hi everyone, today's training session will begin at 11:30 AM. The meeting link is in the calendar invitation."
L0388,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
L0272,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
L0098,0,legitimate,The maintenance team will inspect the office network on Thursday. No action is required from you.
P0778,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.billing-confirmation.net/verify.
L0764,0,legitimate,The maintenance team will inspect the office network on Monday. No action is required from you.
P0530,1,phishing,Urgent: Your company account has been suspended. Verify your account immediately at https://www.secure-account-check.com/verify.
L0757,0,legitimate,"Hi Ananya, here are the notes from yesterday's discussion. Please share any corrections."
L0929,0,legitimate,Your library book is due on Thursday. You can renew it through the library portal.
L0949,0,legitimate,"Hi Sanjay, here are the notes from yesterday's discussion. Please share any corrections."
P0987,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.account-security-alert.com/verify.
L0540,0,legitimate,"Hi everyone, today's training session will begin at 10:00 AM. The meeting link is in the calendar invitation."
L0286,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
L0308,0,legitimate,The department has approved the leave request. Please check the HR portal for the updated balance.
L0447,0,legitimate,Your order has been shipped and is expected to arrive on Monday. You can track it from your account dashboard.
L0328,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P0665,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.billing-confirmation.net/verify.
L0071,0,legitimate,The department has approved the leave request. Please check the HR portal for the updated balance.
P1196,1,phishing,Your employee benefits account requires verification. Sign in at https://www.account-security-alert.com/verify.
L0260,0,legitimate,Your library book is due on Friday. You can renew it through the library portal.
L0334,0,legitimate,The department has approved the leave request. Please check the HR portal for the updated balance.
P0868,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.account-security-alert.com/verify.
P0714,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.reward-center-online.com/verify.
P0336,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.secure-account-check.com/verify.
P0694,1,phishing,Security alert: We detected unusual activity on your Amazon account. Confirm your identity using https://www.verify-login-now.net/verify.
P0999,1,phishing,You are eligible for an exclusive bonus. Click https://www.reward-center-online.com/verify to claim it before midnight.
P0421,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.billing-confirmation.net/verify.
L0023,0,legitimate,Thanks for your application. We will review your documents and contact you with the next steps.
P0583,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.billing-confirmation.net/verify.
P0227,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.secure-account-check.com/verify.
L0902,0,legitimate,Reminder: your appointment with Accounts is scheduled for Thursday at 4:00 PM.
L0661,0,legitimate,Your library book is due on Monday. You can renew it through the library portal.
L0045,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
L0466,0,legitimate,Your library book is due on Monday. You can renew it through the library portal.
P0982,1,phishing,Congratulations! You have been selected for a cash reward. Submit your details at https://www.reward-center-online.com/verify.
L0633,0,legitimate,"Hi Sanjay, here are the notes from yesterday's discussion. Please share any corrections."
L0140,0,legitimate,Reminder: your appointment with Admissions is scheduled for Thursday at 2:00 PM.
P0490,1,phishing,"You have won a $1,000 bonus. Claim your reward now by visiting https://www.verify-login-now.net/verify."
L0662,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
P0349,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.account-security-alert.com/verify.
P0293,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.verify-login-now.net/verify.
P1118,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.verify-login-now.net/verify.
P0212,1,phishing,Security alert: We detected unusual activity on your banking account. Confirm your identity using https://www.verify-login-now.net/verify.
P0020,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.reward-center-online.com/verify.
P1003,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.secure-account-check.com/verify.
P0463,1,phishing,You are eligible for an exclusive bonus. Click https://www.billing-confirmation.net/verify to claim it before midnight.
P0680,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.secure-account-check.com/verify.
L0629,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
L0717,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P0438,1,phishing,Urgent: Your Microsoft account has been suspended. Verify your account immediately at https://www.secure-account-check.com/verify.
L0865,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
P0383,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.secure-account-check.com/verify.
L0561,0,legitimate,The maintenance team will inspect the office network on Thursday. No action is required from you.
P0315,1,phishing,"You have won a $1,000 bonus. Claim your reward now by visiting https://www.billing-confirmation.net/verify."
P0915,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.verify-login-now.net/verify.
P1105,1,phishing,"You have won a $1,000 bonus. Claim your reward now by visiting https://www.billing-confirmation.net/verify."
L0516,0,legitimate,"Hi Kiran, the design review is scheduled for Friday at 3:30 PM. Please let me know if you can attend."
L0791,0,legitimate,"Hi Priya, here are the notes from yesterday's discussion. Please share any corrections."
L1178,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
P0033,1,phishing,Congratulations! You have been selected for a cash reward. Submit your details at https://www.reward-center-online.com/verify.
L0338,0,legitimate,"Hi everyone, today's training session will begin at 4:00 PM. The meeting link is in the calendar invitation."
P0919,1,phishing,You are eligible for an exclusive bonus. Click https://www.reward-center-online.com/verify to claim it before midnight.
P0022,1,phishing,Your employee benefits account requires verification. Sign in at https://www.account-security-alert.com/verify.
L1144,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
L0254,0,legitimate,The maintenance team will inspect the office network on Wednesday. No action is required from you.
L0134,0,legitimate,Thanks for your application. We will review your documents and contact you with the next steps.
P0190,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.reward-center-online.com/verify.
P0137,1,phishing,Important document: Please review and sign the attached form using https://www.billing-confirmation.net/verify.
L0538,0,legitimate,The finance team has shared the monthly expense report. Please review the figures before Friday.
P0188,1,phishing,Congratulations! You have been selected for a cash reward. Submit your details at https://www.verify-login-now.net/verify.
L0449,0,legitimate,"Hi Sanjay, here are the notes from yesterday's discussion. Please share any corrections."
P0029,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.verify-login-now.net/verify.
P1152,1,phishing,"We noticed a login from a new device. If this was not you, secure your account at https://www.reward-center-online.com/verify."
L0289,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
L1153,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
P0268,1,phishing,"We noticed a login from a new device. If this was not you, secure your account at https://www.secure-account-check.com/verify."
P0828,1,phishing,Your employee benefits account requires verification. Sign in at https://www.reward-center-online.com/verify.
P0115,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.secure-account-check.com/verify.
L0961,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
L0127,0,legitimate,"Hi Akhila, could you please send the latest version of the report when convenient?"
L0068,0,legitimate,The finance team has shared the monthly expense report. Please review the figures before Friday.
P0907,1,phishing,"We noticed a login from a new device. If this was not you, secure your account at https://www.billing-confirmation.net/verify."
P0841,1,phishing,Security alert: We detected unusual activity on your company account. Confirm your identity using https://www.secure-account-check.com/verify.
P1046,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.secure-account-check.com/verify.
P1149,1,phishing,Important document: Please review and sign the attached form using https://www.verify-login-now.net/verify.
L0908,0,legitimate,The department has approved the leave request. Please check the HR portal for the updated balance.
L0209,0,legitimate,Reminder: your appointment with Admissions is scheduled for Friday at 2:00 PM.
P0960,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.verify-login-now.net/verify.
L1025,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
P0736,1,phishing,Security alert: We detected unusual activity on your Amazon account. Confirm your identity using https://www.billing-confirmation.net/verify.
P0980,1,phishing,Security alert: We detected unusual activity on your company account. Confirm your identity using https://www.reward-center-online.com/verify.
P1127,1,phishing,You are eligible for an exclusive bonus. Click https://www.verify-login-now.net/verify to claim it before midnight.
L0742,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
P1045,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.verify-login-now.net/verify.
L0834,0,legitimate,Thanks for your application. We will review your documents and contact you with the next steps.
L0887,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
L0532,0,legitimate,The maintenance team will inspect the office network on Tuesday. No action is required from you.
L1176,0,legitimate,The maintenance team will inspect the office network on Tuesday. No action is required from you.
L0622,0,legitimate,"Hi Ananya, here are the notes from yesterday's discussion. Please share any corrections."
L0172,0,legitimate,"Hi Meera, the weekly sync is scheduled for Monday at 2:00 PM. Please let me know if you can attend."
L0014,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
L0143,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P0612,1,phishing,"We noticed a login from a new device. If this was not you, secure your account at https://www.verify-login-now.net/verify."
P0545,1,phishing,Your employee benefits account requires verification. Sign in at https://www.billing-confirmation.net/verify.
L0400,0,legitimate,The department has approved the leave request. Please check the HR portal for the updated balance.
L0853,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
L1092,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
L1104,0,legitimate,Your order has been shipped and is expected to arrive on Monday. You can track it from your account dashboard.
P0822,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.verify-login-now.net/verify.
P0368,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.secure-account-check.com/verify.
P0264,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.billing-confirmation.net/verify.
L0337,0,legitimate,Your order has been shipped and is expected to arrive on Wednesday. You can track it from your account dashboard.
P0209,1,phishing,Congratulations! You have been selected for a cash reward. Submit your details at https://www.billing-confirmation.net/verify.
L0917,0,legitimate,Your order has been shipped and is expected to arrive on Friday. You can track it from your account dashboard.
L0193,0,legitimate,The department has approved the leave request. Please check the HR portal for the updated balance.
L0200,0,legitimate,"Hi Priya, could you please send the latest version of the report when convenient?"
L0100,0,legitimate,Reminder: your appointment with Accounts is scheduled for Monday at 11:30 AM.
P0523,1,phishing,Congratulations! You have been selected for a cash reward. Submit your details at https://www.account-security-alert.com/verify.
L1171,0,legitimate,The finance team has shared the monthly expense report. Please review the figures before Friday.
P0521,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.reward-center-online.com/verify.
L0965,0,legitimate,The finance team has shared the monthly expense report. Please review the figures before Friday.
P0563,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.billing-confirmation.net/verify.
L0697,0,legitimate,"Hi Kiran, the client meeting is scheduled for Monday at 10:00 AM. Please let me know if you can attend."
L0020,0,legitimate,Thanks for your application. We will review your documents and contact you with the next steps.
L1057,0,legitimate,"Hi everyone, today's training session will begin at 4:00 PM. The meeting link is in the calendar invitation."
L0183,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P0431,1,phishing,You have won a $500 gift card. Claim your reward now by visiting https://www.account-security-alert.com/verify.
P1027,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.secure-account-check.com/verify.
L0832,0,legitimate,"Hi Sanjay, the client meeting is scheduled for Tuesday at 2:00 PM. Please let me know if you can attend."
L0870,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P0972,1,phishing,"We noticed a login from a new device. If this was not you, secure your account at https://www.reward-center-online.com/verify."
P0465,1,phishing,Important document: Please review and sign the attached form using https://www.secure-account-check.com/verify.
P0619,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.verify-login-now.net/verify.
L0926,0,legitimate,"Hi Arjun, could you please send the latest version of the report when convenient?"
P0730,1,phishing,Your employee benefits account requires verification. Sign in at https://www.verify-login-now.net/verify.
P1073,1,phishing,Important document: Please review and sign the attached form using https://www.billing-confirmation.net/verify.
L0682,0,legitimate,"Hello team, the weekly project update is attached. Please review it before the meeting."
L0185,0,legitimate,The maintenance team will inspect the office network on Monday. No action is required from you.
P0388,1,phishing,Important document: Please review and sign the attached form using https://www.verify-login-now.net/verify.
P0217,1,phishing,"We noticed a login from a new device. If this was not you, secure your account at https://www.reward-center-online.com/verify."
P0405,1,phishing,Your employee benefits account requires verification. Sign in at https://www.account-security-alert.com/verify.
L0846,0,legitimate,Thank you for contacting support. We have created a ticket and will respond within two business days.
P0743,1,phishing,You are eligible for an exclusive bonus. Click https://www.reward-center-online.com/verify to claim it before midnight.
P1080,1,phishing,Important document: Please review and sign the attached form using https://www.secure-account-check.com/verify.
P0789,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.verify-login-now.net/verify.
P0412,1,phishing,Security alert: We detected unusual activity on your company account. Confirm your identity using https://www.reward-center-online.com/verify.
P0344,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.secure-account-check.com/verify.
L0123,0,legitimate,Your package is ready for pickup at the collection desk during normal working hours.
P0083,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.secure-account-check.com/verify.
L1136,0,legitimate,Your library book is due on Thursday. You can renew it through the library portal.
L0514,0,legitimate,Your library book is due on Thursday. You can renew it through the library portal.
P0747,1,phishing,"We noticed a login from a new device. If this was not you, secure your account at https://www.reward-center-online.com/verify."
L0304,0,legitimate,The department has approved the leave request. Please check the HR portal for the updated balance.
P0043,1,phishing,Urgent: Your PayPal account has been suspended. Verify your account immediately at https://www.reward-center-online.com/verify.
L0322,0,legitimate,"Hi Ananya, the weekly sync is scheduled for Tuesday at 4:00 PM. Please let me know if you can attend."
P1151,1,phishing,Your payment was declined. Update your billing information within 24 hours at https://www.billing-confirmation.net/verify.
P0918,1,phishing,Important document: Please review and sign the attached form using https://www.reward-center-online.com/verify.
P0792,1,phishing,Security alert: We detected unusual activity on your Microsoft account. Confirm your identity using https://www.billing-confirmation.net/verify.
L0488,0,legitimate,"Hi everyone, today's training session will begin at 4:00 PM. The meeting link is in the calendar invitation."
P0327,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.secure-account-check.com/verify.
L0871,0,legitimate,The maintenance team will inspect the office network on Thursday. No action is required from you.
P0557,1,phishing,Your mailbox is over its storage limit. Login now to prevent email deactivation: https://www.account-security-alert.com/verify.
L0156,0,legitimate,Your library book is due on Friday. You can renew it through the library portal.
L0580,0,legitimate,Your order has been shipped and is expected to arrive on Wednesday. You can track it from your account dashboard.
L1148,0,legitimate,"Hi Rahul, could you please send the latest version of the report when convenient?"
P0160,1,phishing,Your tax refund is ready. Confirm your bank information at https://www.billing-confirmation.net/verify.
L0594,0,legitimate,Reminder: your appointment with HR is scheduled for Wednesday at 2:00 PM.
P0078,1,phishing,Action required: Your subscription payment failed. Reactivate it immediately at https://www.reward-center-online.com/verify.
L0866,0,legitimate,"Please find the meeting agenda attached. We will discuss milestones, risks, and next week's tasks."
L0490,0,legitimate,Reminder: your appointment with IT Support is scheduled for Monday at 3:30 PM.
L0021,0,legitimate,Your library book is due on Tuesday. You can renew it through the library portal.
P0546,1,phishing,Final notice: Your account will be closed unless you verify your password at https://www.reward-center-online.com/verify.
P0048,1,phishing,Important document: Please review and sign the attached form using https://www.account-security-alert.com/verify.
P1007,1,phishing,Your employee benefits account requires verification. Sign in at https://www.secure-account-check.com/verify.
P0374,1,phishing,Your password expires today. Keep your account active by confirming it at https://www.secure-account-check.com/verify.
